country,child_mortality,fertility,co2_emmission,energy_use,income,population_density
Albania,14.4,1.71,1.96,808,10700,107
Algeria,25.6,2.89,3.72,1320,13500,16.4
Angola,91.2,5.84,1.29,545,6260,21.6
Argentina,12.1,2.32,4.75,2020,18800,15.7
Armenia,14.7,1.69,1.9,1020,7970,102
Australia,4,1.87,15.4,5330,43400,3.06
Austria,3.7,1.48,6.8,3760,44100,105
Azerbaijan,33.2,2.09,3.94,1500,16700,115
Bangladesh,38.6,2.16,0.459,222,2970,1220
Belarus,4.2,1.67,6.69,2930,17900,46.7
Belgium,4.1,1.79,8.32,4710,41400,371
Benin,103,5.12,0.614,417,2000,91.2
Bolivia,39.6,2.97,1.93,789,6330,9.75
Bosnia and Herzegovina,6.1,1.33,6.23,2190,10500,69.9
Botswana,44.6,2.81,3.24,1250,15900,3.83
Brazil,16.4,1.75,2.59,1480,15400,24.4
Brunei,10.1,1.89,22.1,8630,76100,78.1
Bulgaria,8.8,1.53,5.87,2480,16300,66.5
Cambodia,33.7,2.63,0.438,417,3120,86.5
Cameroon,87.5,4.85,0.315,342,2900,47
Canada,5.2,1.6,15.1,7880,42900,3.92
Chile,8.5,1.8,4.69,2050,22200,23.7
China,11.5,1.61,7.4,2240,12800,148
Colombia,16.3,1.9,1.76,712,12700,43.1
"Congo, Dem. Rep.",101,6.24,0.0634,390,726,32.5
"Congo, Rep.",56.5,4.78,0.635,540,5540,14.3
Costa Rica,9.4,1.82,1.63,1030,14400,93.2
Croatia,4.9,1.49,3.96,1900,20100,76.1
Cuba,5.7,1.71,3.05,1020,20000,107
Cyprus,2.9,1.36,5.26,1710,29700,125
Czech Republic,3.1,1.51,9.1,3920,29100,137
Denmark,4.2,1.83,5.91,2870,45100,133
Dominican Republic,32.2,2.48,2.07,734,12600,215
Ecuador,22.2,2.54,2.76,892,10900,64
Egypt,24.7,3.34,2.2,815,9880,92.2
El Salvador,16.1,2.13,1,647,7710,303
Estonia,3.3,1.61,14.8,4590,27000,31.1
Ethiopia,64.4,4.44,0.119,497,1430,97.4
