country,id,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,1040,1060,1070,1120,1130,1130,1160,1140,1180,1190,1210,1200,1200,1190,1190,1190,1180,1180,1200,1190,1180,1100,1050,1150,1180,1210,1240,1130,1190,1170,1170,1300,1410,1470,1440,1400,1500,1240,1120,1100,1040,1030,950,818,732,881,904,930,956,982,972,871,1060,1100,1060,1140,1160,1290,1300,1530,1610,1660,1840,1810,1780,1750,1740,1800,1870
Albania,ALB,1920,2000,2010,2090,2150,2270,2290,2440,2550,2660,2790,2820,2910,3010,3110,3220,3340,3460,3580,3700,3830,3980,4120,4320,4320,4330,4340,4340,4350,4360,4390,4400,4410,4430,4440,4450,4470,4490,4510,4530,4560,3230,3010,3320,3620,4130,4530,4070,4460,5100,5470,5960,6230,6620,7020,7460,7920,8450,9150,9530,9930,10200,10400,10500,10700,11000,11400,11900,12400
Algeria,DZA,4000,3980,4100,4100,4340,4390,4740,5200,5310,6190,6520,5640,4520,5590,5740,5960,5520,5860,6370,6810,7290,6490,7630,7650,7890,8200,8480,8980,9830,10400,10300,10300,10600,10800,11100,11200,10800,10500,10000,10200,10200,9870,9820,9400,9130,9300,9510,9460,9800,9970,10200,10400,10800,11500,11800,12300,12300,12600,12700,12600,12900,13000,13200,13300,13500,13700,14000,13800,13700
Angola,AGO,3180,3260,3340,3420,3290,3510,3400,3670,3810,3770,3860,4310,4130,4280,4690,4960,5170,5390,5230,5300,5550,5780,5670,6000,6060,5620,5200,5110,4720,4610,4590,4250,4110,4140,4240,4260,4290,4480,4620,4530,4390,4210,3790,2760,2770,2970,3210,3370,3500,3510,3510,3540,3180,3240,3460,3950,4600,5440,5980,5910,5900,5910,6000,6190,6260,6230,6030,5940,5850
Antigua and Barbuda,ATG,3470,3560,3650,3730,3830,3920,4010,4110,4210,4310,4420,4530,4640,4750,4870,4980,5100,5230,5360,5490,5620,5890,6160,6540,6650,6230,5670,6140,6440,7250,7850,8350,8470,9150,9960,10900,12100,13400,14800,15900,16400,16600,16500,17000,17700,16500,17100,17500,17900,18100,18800,17500,17500,18300,19200,20100,22500,24200,24000,20800,19100,18600,19100,18900,19500,20100,20800,20900,21000
Argentina,ARG,8320,8430,7800,8030,8180,8580,8640,8910,9280,8510,9030,9510,9190,8820,9590,10300,10200,10400,10700,11400,11900,12200,12200,12500,13000,12800,12600,13300,12700,13500,13500,12600,12100,12400,12600,11600,12300,12500,12100,11100,10800,12000,13300,13900,14500,13900,14500,15500,15900,15200,14900,14100,12400,13400,14400,15500,16600,17900,18400,17200,18700,19600,19200,19500,18800,19100,18500,18700,18900
Armenia,ARM,1860,1840,1920,1960,2020,2140,2300,2300,2420,2350,2520,2610,2640,2540,2830,2950,3060,3150,3300,3320,3540,3590,3580,3840,3880,3820,3920,3940,3970,3880,3820,3790,3820,3870,3850,3810,3900,3880,3890,3900,3740,3340,1980,1850,1990,2170,2340,2440,2640,2740,2930,3220,3670,4210,4670,5360,6110,7010,7560,6530,6700,7020,7510,7730,7970,8180,8170,8410,8660
Australia,AUS,12100,12200,12100,12200,12700,13100,13200,13200,13500,14100,14300,14100,14700,15400,16100,16600,16700,17600,18300,18900,19700,20200,20400,21200,21400,21700,22400,22400,22700,23700,23900,24300,23900,23600,24900,25900,26000,26900,27700,28500,28600,28100,27900,28700,29600,30400,31200,32000,33100,34400,35300,35500,36400,37100,38100,38900,39400,40700,41300,41200,41400,41800,42600,42900,43400,43800,44400,45100,45800
Austria,AUT,6940,7400,7410,7720,8490,9400,10000,10600,11000,11200,12100,12600,12900,13300,14000,14300,15000,15300,15900,16800,18000,18800,19800,20700,21500,21500,22500,23600,23500,24800,25400,25300,25800,26600,26700,27300,27900,28300,29100,30300,31300,32000,32300,32200,32900,33700,34500,35200,36400,37600,38800,39200,39600,39700,40600,41200,42300,43700,44300,42500,43200,44200,44400,44200,44100,44100,44100,44400,44600
Azerbaijan,AZE,3640,3600,3770,3860,3990,4250,4580,4600,4860,4720,5080,5290,5350,5160,5750,6010,6240,6460,6780,6820,7290,7420,7400,7950,8080,7990,8260,8350,8460,8320,8230,8210,8310,8470,8470,8440,8670,8680,8760,8810,8510,8320,6350,4810,3810,3320,3330,3490,3800,4050,4460,4860,5340,5890,6440,8050,10700,13200,14400,15400,16000,15800,15900,16600,16700,16700,16000,16200,16600
